,Unnamed: 0,Unnamed: 0.1,UNIQUEKEY,APPLICATIONTYPE,APPLICATIONTYPE.1,APPLICATIONSTARTDATE,WORKTYPE,WORKTYPEDESCRIPTION,APPLICATIONFINALIZEDDATE,PARKINGMETERPOSTINGORBAGGING,XCOORDINATE,YCOORDINATE,LATITUDE,LONGITUDE,LOCATION,STREETCLOSURE,STREETNUMBERFROM,STREETNUMBERTO,DIRECTION,STREETNAME
30932,122222,122222,46030119479,DOT_SE,DOT_SE,08/22/2015,BlockParty,Block Party,08/23/2015,,1156010.0,1831439.0,41.693248467,-87.70444005,"(41.693248467494904, -87.70444004973263)",Full,11001.0,11099.0,S,CHRISTIANA
31025,122565,122565,45999419142,DOT_SE,DOT_SE,07/31/2015,BlockParty,Block Party,08/01/2015,,1155341.0,1885268.0,41.840977318,-87.70545144299999,"(41.84097731825847, -87.7054514430345)",Full,3210.0,3226.0,W,28TH
31027,122576,122576,46078720018,DOT_SE,DOT_SE,08/22/2015,BlockParty,Block Party,08/23/2015,,1157108.0,1896937.0,41.872964481,-87.698651649,"(41.87296448100816, -87.69865164895207)",Full,2900.0,2999.0,W,FLOURNOY
31085,122794,122794,45695915939,DOT_SE,DOT_SE,06/20/2015,BlockParty,Block Party,06/21/2015,,1170316.0,1922162.0,41.941904934,-87.64941816299999,"(41.941904934313754, -87.64941816263308)",Full,800.0,899.0,W,ALDINE
31090,122810,122810,615006244188,DOT_PWO,DOT_PWO,12/15/2015,GenOpening,Opening in the Public Way,,,1180292.0,1855416.0,41.758523669,-87.614805387,"(41.75852366871204, -87.61480538742025)",Curblane,406.0,406.0,E,75TH
31100,122847,122847,46195521284,DOT_SE,DOT_SE,10/24/2015,BlockParty,Block Party,10/25/2015,,1154538.0,1833402.0,41.698666681999995,-87.709776422,"(41.69866668248403, -87.70977642236505)",Full,10700.0,10799.0,S,DRAKE
31111,122897,122897,615961244598,DOT_PWO,DOT_PWO,12/17/2015,GenOpening,Opening in the Public Way,,,1168001.0,1892457.0,41.860442192,-87.658786024,"(41.86044219210449, -87.65878602366904)",Curblane,1547.0,1547.0,S,BLUE ISLAND
31122,122959,122959,45716716148,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1121468.0,1920931.0,41.939454063,-87.82898482899998,"(41.93945406332852, -87.82898482892645)",Full,3300.0,3399.0,N,PANAMA
31140,123015,123015,45869917758,DOT_SE,DOT_SE,07/11/2015,BlockParty,Block Party,07/12/2015,,1131095.0,1911263.0,41.912764213,-87.79382864799999,"(41.9127642132736, -87.79382864798542)",Full,1800.0,1899.0,N,RUTHERFORD
31150,123037,123037,45655215536,DOT_SE,DOT_SE,06/13/2015,BlockParty,Block Party,06/14/2015,,1139050.0,1922433.0,41.943276139,-87.76432872,"(41.94327613872966, -87.764328719591)",Full,5500.0,5599.0,W,NEWPORT
31184,123180,123180,45913018228,DOT_SE,DOT_SE,07/04/2015,BlockParty,Block Party,07/05/2015,,1141853.0,1918510.0,41.93245801,-87.75412303799999,"(41.93245800953869, -87.7541230377374)",Full,5100.0,5199.0,W,WOLFRAM
31202,123251,123251,46041119602,DOT_SE,DOT_SE,08/16/2015,BlockParty,Block Party,08/17/2015,,1171625.0,1893141.0,41.862239376,-87.64546364,"(41.862239376094514, -87.64546364029559)",Full,1443.0,1460.0,S,EMERALD
31204,123262,123262,46171021007,DOT_SE,DOT_SE,08/28/2015,BlockParty,Block Party,08/29/2015,,1165016.0,1900765.0,41.883304694,-87.66950619100002,"(41.88330469392391, -87.66950619118603)",Full,100.0,199.0,N,PAULINA
31258,123440,123440,45871017771,DOT_SE,DOT_SE,08/01/2015,BlockParty,Block Party,08/02/2015,,1130891.0,1935529.0,41.979356986999996,-87.79401613600002,"(41.97935698654469, -87.79401613621224)",Full,5400.0,5525.0,N,NORMANDY
31285,123574,123574,46067719890,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1168663.0,1835758.0,41.704838523,-87.657990929,"(41.704838523196806, -87.65799092916625)",Full,10400.0,10499.0,S,CHARLES
