ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,notice_number,hearing_disposition,officer,year,month,hour
7000004459,2003-11-01 12:26:00,5500 S WESTERN AVE S,a8048f8bb5f6e2ed9371affd1a749c0627014c2d758841a9f6f98a1155891644,IL,PAS,60652,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-08 00:00:00,VIOL,5046731320,"",RDFX,2003,11,24
7000004149,2003-11-01 12:46:00,2400 W 55TH STREET E,42ef2e658f0fbebb42069746ec31653498154ca6f718fb8433deb7abae209553,IL,PAS,60477,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-02 00:00:00,VIOL,5046572250,"",RDFX,2003,11,24
7000004150,2003-11-01 12:46:00,5500 S WESTERN AVE S,16db2aa7c152c93665f0766ed2c01a9242a8d5840030c39e847ee1a2309e9ee4,IL,PAS,60527,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-11-26 00:00:00,VIOL,5046572260,"",RDFX,2003,11,24
7000004151,2003-11-01 13:20:00,2400 W 55TH STREET E,cf38203ea4b881a9ec20a7fab1b586edad57d71e1646e3643d72469a7085d1e3,IL,PAS,60505,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-12 00:00:00,DETR,5046572270,"",RDFX,2003,11,13
7000004152,2003-11-01 13:21:00,2400 W 55TH STREET E,c6060f6f82e4d0a17c7412981dce58aa45f640ce87e2ff68a6296bad1d316bab,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-04 00:00:00,VIOL,5046641370,"",RDFX,2003,11,13
7000004460,2003-11-01 13:34:00,5500 S WESTERN AVE S,39b385208a40794fa145dbc73603b5ab4fc7fdfd07479d131feba018a7be8c8e,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-19 00:00:00,DETR,5046827220,"",RDFX,2003,11,13
7000004461,2003-11-01 13:44:00,5500 S WESTERN AVE S,1cb19da9cfcbdb2b44f9650bdeee8922ccd0543a159ffa2e344e5288090bd305,IL,PAS,60632,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-11-29 00:00:00,VIOL,5046827230,"",RDFX,2003,11,13
7000004399,2003-11-01 13:59:00,5500 S WESTERN AVE S,0d7fb65c882dc79da0f90bd250b9a9b99704be2d37a2206d5beb22f82e17bc2c,WI,PAS,53215,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,219.6,0,Notice,2004-09-24 00:00:00,FINL,5055734310,"",RDFX,2003,11,13
7000004153,2003-11-01 13:59:00,2400 W 55TH STREET E,ca71930842125b9277299c3827dda645f0bc23aa9bbf9b55e8ccdccb1a0707f9,IL,PAS,60609,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2004-02-06 00:00:00,DETR,5046572280,Liable,RDFX,2003,11,13
7000004154,2003-11-01 15:33:00,5500 S WESTERN AVE S,8c9f09c286cfc2df965bc56edb6e17d31b82edb333882776abe820b99c71f302,IL,TMP,60653,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-12 00:00:00,DETR,5046641380,"",RDFX,2003,11,15
7000004462,2003-11-01 15:41:00,5500 S WESTERN AVE S,82bea1c52afd7d7294449218cb1b98d7d46607de49fcbaa3f1906dbc21d508ca,IL,PAS,60435,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2004-02-10 00:00:00,FINL,5044408390,"",RDFX,2003,11,15
7000004666,2003-11-01 15:56:00,2400 W 55TH STREET E,d3a668f7d4aae33957adca219532bb68c52db71ba87c9b020e249c3fb0038347,IL,TMP,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,219.6,0,Notice,2003-11-19 00:00:00,SEIZ,5017314340,"",RDFX,2003,11,15
7000004155,2003-11-01 16:20:00,2400 W 55TH STREET E,27406b0ff7372cf824cfcf0c27638e471f3841859cf745c997fdb3e7e60de0ad,IL,PAS,60534,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-11-29 00:00:00,VIOL,5046581520,"",RDFX,2003,11,16
7000004201,2003-11-01 16:41:00,2400 W 55TH STREET E,31cf359f1fafdf4955e96989a6b87cf81a799c2ecad2cc49957221d1aa1965b6,IL,MUN,60654,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2004-01-29 00:00:00,FINL,5046678170,"",RDFX,2003,11,16
7000004463,2003-11-01 16:44:00,2400 W 55TH STREET E,22b122819d959e65f1b3a171009e606399d92e35f584cee5bd3465846e7e1d58,IL,PAS,60621,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,280,Paid,2005-07-20 00:00:00,SEIZ,5014221550,"",RDFX,2003,11,16
7000004156,2003-11-01 17:17:00,5500 S WESTERN AVE S,16d109974a78e12aafa1d16758c5971711f6991b35d71a88769752f08c10bce5,IL,PAS,60632,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-11-26 00:00:00,VIOL,5046656850,"",RDFX,2003,11,17
7000004264,2003-11-01 17:28:00,2400 W 55TH STREET E,c45e7f91734d34197b942a9e4043c44519a73669984f2a962a8c5ecffb12dc61,IL,TMP,62260,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,0,Dismissed,2004-02-18 00:00:00,VIOL,5046693790,Not Liable,RDFX,2003,11,17
7000004464,2003-11-01 18:02:00,5500 S WESTERN AVE S,e2ffc5dc167a776f8b4ab7d5b22ea950057cfe5d19da7ece778b0af4ef656c3b,IL,PAS,60620,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2004-04-11 00:00:00,DETR,5020079130,Liable,RDFX,2003,11,18
7000004157,2003-11-01 18:05:00,5500 S WESTERN AVE S,154d3a326543ad36724b5f601277918a3758fb3cde893e342dc6229a51fab267,IL,PAS,60652,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,219.6,0,Notice,2004-05-20 00:00:00,FINL,5046656860,Liable,RDFX,2003,11,18
7000004158,2003-11-01 18:26:00,2400 W 55TH STREET E,ec2fbe811fe56f1c601b0f4b4ce0db16e0b0f70a9de61ba73d93b6f07a63a5f9,IL,TMP,60445,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2004-01-07 00:00:00,FINL,5046656870,"",RDFX,2003,11,18
7000004400,2003-11-01 19:17:00,2400 W 55TH STREET E,28cd14ed8a53cfb9a55305986dfc60f0eafb2117017158bdb724a2d1bcb8f47e,IN,PAS,46368,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2004-10-29 00:00:00,VIOL,5056205030,"",RDFX,2003,11,19
7000004159,2003-11-01 20:08:00,2400 W 55TH STREET E,06cd57c67f0192c6d2f41aa6b2eb82c59966469e98ec49b790048692ec56041d,IL,PAS,60636,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2007-08-06 00:00:00,SEIZ,5045492750,"",RDFX,2003,11,20
7000004402,2003-11-01 20:44:00,2400 W 55TH STREET E,ed88550e96dcf5896b652db4c70f317a10b7bfa7a334d8febd027011e3c8c77e,IN,PAS,46405,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,219.6,Paid,2012-12-14 00:00:00,SEIZ,5143869200,"",RDFX,2003,11,20
7000004160,2003-11-01 20:45:00,5500 S WESTERN AVE S,80798d934ca9537244658d63f7d3226841282b060140e1952065f2c14dbac0df,IL,PAS,60633,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2004-02-14 00:00:00,FINL,5046587540,"",RDFX,2003,11,20
7000004161,2003-11-01 20:47:00,5500 S WESTERN AVE S,a66129d9cd6dfa4976bfbf11a83aa811a1f244a69a6633c6dadd5152fd54158f,IL,PAS,60652,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-11-26 00:00:00,VIOL,5046587550,"",RDFX,2003,11,20
7000004403,2003-11-01 20:53:00,2400 W 55TH STREET E,4a9e386719ca36f43d3aae2495c9b1255f71d92b00e89610dd37a80e64822da0,IL,RVM,60153,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,0,Dismissed,2014-11-16 00:00:00,FINL,5046731150,"",RDFX,2003,11,20
7000004162,2003-11-01 21:46:00,2400 W 55TH STREET E,9563136103217be9c6f10ef1d47b4f993bcf327ac2a2b230c9f1a20f589dceda,IL,PAS,60609,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-22 00:00:00,DETR,5046587560,"",RDFX,2003,11,21
7000004163,2003-11-01 21:55:00,5500 S WESTERN AVE S,e2d0b3bacfca502f010835d2adb60ffeacb6c22b7b52d9acc6c84ec858c1f2c0,IL,PAS,60623,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,180,0,Notice,2016-01-28 00:00:00,SEIZ,5046656880,"",RDFX,2003,11,21
7000004164,2003-11-02 03:08:00,2400 W 55TH STREET E,55bdf150d04ca5f42576de792e0b8c9910fe5c9e0be79b85cc674fa18007f876,IL,PAS,60608,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-11-25 00:00:00,VIOL,5046656890,"",RDFX,2003,11,3
7000004165,2003-11-02 04:12:00,2400 W 55TH STREET E,554d8a437b43116dfde997ca36b55ee0b3f678fd78164a3e4eceea88a40dfb22,IL,PAS,60652,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2004-01-12 00:00:00,FINL,5021572160,"",RDFX,2003,11,4
7000004166,2003-11-02 05:48:00,5500 S WESTERN AVE S,2d83c5aacfc4a51317548b6d598badf865a99bbadb7a8f5d0a9fd16cef56e705,IL,PAS,60153,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-01 00:00:00,VIOL,5046447110,"",RDFX,2003,11,5
7000004167,2003-11-02 08:09:00,2400 W 55TH STREET E,a50edd782601dab4bb7d4f75df776cc50634339876f80c223fee68350e1ad077,IL,PAS,60652,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-11-25 00:00:00,VIOL,5046656900,"",RDFX,2003,11,8
7000004168,2003-11-02 09:12:00,2400 W 55TH STREET E,bdde95d37eecf04342133f0d09039d8c4c2ac191e4bc59601079c0c25ea6eb20,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-11-26 00:00:00,VIOL,5046656910,"",RDFX,2003,11,9
7000004465,2003-11-02 09:38:00,2400 W 55TH STREET E,80a17459d6e6a56f2eae04c1cef677ad8cc7dc71619f7823320331ea6b1e0e0a,IL,TXI,60616,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-09 00:00:00,VIOL,5046827240,"",RDFX,2003,11,9
7000004169,2003-11-02 10:03:00,5500 S WESTERN AVE S,a722ec4d3465e43a5daf4cf855ae9f01062ce49a9271515e74cb86f60f982c2a,IL,PAS,60644,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2004-01-07 00:00:00,FINL,5046587570,"",RDFX,2003,11,10
7000004170,2003-11-02 10:58:00,5500 S WESTERN AVE S,71304215f5c4b670cbecca58553a050fdda93f27e289e4263c5214ff6bd838e4,IL,PAS,60649,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,219.6,0,Notice,2003-11-12 00:00:00,SEIZ,5046656920,"",RDFX,2003,11,10
7000004171,2003-11-02 11:09:00,5500 S WESTERN AVE S,7a13954741f5dd6fc8c3e321ff652fd8a60b3c98c8f51a6a5d09fe17aff820a6,IL,PAS,60647,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2008-05-02 00:00:00,FINL,5053172730,"",RDFX,2003,11,11
7000004667,2003-11-02 12:15:00,2400 W 55TH STREET E,d9d3320540175d6a3a5a8386397474955fcf1504a03ff6454e53bcc5ecd1dab2,IL,PAS,60615,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2005-04-29 00:00:00,SEIZ,5012882230,"",RDFX,2003,11,24
7000004172,2003-11-02 12:32:00,5500 S WESTERN AVE S,17d0c7a283807ec5afa6be3f75e672bd5b4ae94d6e5737b7b2526c639f89b471,IL,PAS,60501,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-03 00:00:00,VIOL,5046656930,"",RDFX,2003,11,24
7000004173,2003-11-02 12:43:00,2400 W 55TH STREET E,7b4088ff40867f537a3a762f169280c60045434cea9eaf453e2e2ba80f319652,VA,PAS,23464,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2004-10-26 00:00:00,VIOL,5056204330,"",RDFX,2003,11,24
7000004668,2003-11-02 12:49:00,2400 W 55TH STREET E,55a3d89c933c674aa9392b053ab57b32c030ac63389dbda18c8ed27bd4ac3b7f,IL,TMP,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-18 00:00:00,DETR,5046843650,"",RDFX,2003,11,24
7000004174,2003-11-02 13:08:00,2400 W 55TH STREET E,38e801601881b5915a21ce8893f1921d34f4966c9d5f8c61c27d659233cbaec4,IL,PAS,60660,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-04 00:00:00,VIOL,5046587580,"",RDFX,2003,11,13
7000004175,2003-11-02 14:10:00,2400 W 55TH STREET E,a07d114f40a312ddaddbe3f8d2efcf906f817d8a59e96fb1e1caaed3c94ce832,IL,PAS,60638,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2004-02-06 00:00:00,FINL,5042176610,"",RDFX,2003,11,14
7000004177,2003-11-02 14:26:00,5500 S WESTERN AVE S,a9c6312877dccaa19a79e290fcd9316eed9238c30bf57a47e94814d0970e04d7,IL,PAS,60804,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,128.1,75,Notice,2004-02-13 00:00:00,FINL,5022191530,"",RDFX,2003,11,14
7000004178,2003-11-02 14:55:00,2400 W 55TH STREET E,f15c5876ed8052576c30a722202dca7350b5fafda931c9d23cab6595ef47cd92,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2004-02-23 00:00:00,FINL,5019956380,"",RDFX,2003,11,14
7000004179,2003-11-02 15:06:00,5500 S WESTERN AVE S,cafb43a2b11af6a8373a00c6b34b86ebc3b09a6d6556aa7431fb507ab638bb2a,IL,PAS,60632,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-11-26 00:00:00,VIOL,5046587590,"",RDFX,2003,11,15
7000004180,2003-11-02 15:17:00,5500 S WESTERN AVE S,f920b55272bcb6445ac183076cccbafcf643362d2164202dce761735be4b12da,IL,PAS,60609,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2004-03-18 00:00:00,SEIZ,5019807170,"",RDFX,2003,11,15
7000004669,2003-11-02 15:28:00,2400 W 55TH STREET E,2018ce5ced6407f99d1fe6d7b1c0552eda781824af8e7ed3d881661eb3af09c5,IL,PAS,60419,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2004-01-07 00:00:00,DETR,5018072370,"",RDFX,2003,11,15
7000004181,2003-11-02 15:44:00,5500 S WESTERN AVE S,d5866c031fc11ff47df2a1a633507dfd8665922b8962bb7ef9c5bd285beede28,IL,PAS,60429,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2005-10-21 00:00:00,FINL,5046656940,"",RDFX,2003,11,15
7000004467,2003-11-02 15:46:00,5500 S WESTERN AVE S,425fb55e6cf7817cbd299c171eaef1ce5706c895aafc621ba390e0e38170c2cc,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-15 00:00:00,DETR,5042732480,"",RDFX,2003,11,15
7000004468,2003-11-02 15:47:00,5500 S WESTERN AVE S,bf856f397deedaf0e63211247918afa40452004abd909c1fb29d41c98ed49b51,IL,PAS,60415,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-22 00:00:00,DETR,5046731330,"",RDFX,2003,11,15
7000004670,2003-11-02 16:06:00,2400 W 55TH STREET E,875aa36e89c2367bd23ef0c79d16cc7c113236caf8e0a03d235fce131fe0d1c4,TX,PAS,76706,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2005-06-24 00:00:00,SEIZ,5054530660,"",RDFX,2003,11,16
7000004671,2003-11-02 16:15:00,5500 S WESTERN AVE S,a3a7aa1a31482caafe2c395c1ff1188f86f92b4abe88d954f392960d15f26b51,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2004-08-17 00:00:00,SEIZ,5046748460,"",RDFX,2003,11,16
7000004182,2003-11-02 16:56:00,5500 S WESTERN AVE S,17db70d85c8020e2bb6006f0d920bbd742cd631b3bc65e078f9430036730db87,IL,PAS,60609,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-11-22 00:00:00,VIOL,5046587600,"",RDFX,2003,11,16
7000004183,2003-11-02 16:58:00,5500 S WESTERN AVE S,cfab57164e58174ad47d7309f9344b756d3b0da017d3f6a78f940095e85cb1ea,IL,ENV,60411,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-02 00:00:00,VIOL,5046656950,"",RDFX,2003,11,16
7000004469,2003-11-02 18:36:00,2400 W 55TH STREET E,ff6142fbcabc8007d40134f6cb306abbf955784afc9220232e5c4bbf0b854d6a,IL,PAS,606362308,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-09 00:00:00,VIOL,5046731340,"",RDFX,2003,11,18
7000004185,2003-11-02 20:23:00,2400 W 55TH STREET E,188602f6fe27b73630ea7bc0c27567799c24a943360479cc0ed555361b5e8386,IL,PAS,60609,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,180,0,Notice,2012-12-18 00:00:00,SEIZ,5045531530,"",RDFX,2003,11,20
7000004360,2003-11-02 22:09:00,2400 W 55TH STREET E,c226ef9dec23993a7ea56dffdf027e212a7329ffecf39699585d4a6c3e8fa6e5,IL,PAS,60619,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-16 00:00:00,DETR,5020210760,"",RDFX,2003,11,22
7000004186,2003-11-02 22:14:00,2400 W 55TH STREET E,514c8c53dc8206044004aeab63c9cb18fcca2142e005be0e08ff39f70f9a9587,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-04 00:00:00,VIOL,5015810360,"",RDFX,2003,11,22
7000004187,2003-11-03 00:12:00,5500 S WESTERN AVE S,66d2b2902a8dbff509b017fd1927cde9a59150bf25a45df96d875e5ca2e7cfc4,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,219.6,0,Notice,2003-11-12 00:00:00,FINL,5046656960,"",RDFX,2003,11,0
7000004188,2003-11-03 01:24:00,5500 S WESTERN AVE S,1a58a842a2de5509589086edb9d568ded3f21f55cead27bdb59a78b7381eab04,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-01 00:00:00,VIOL,5046656970,"",RDFX,2003,11,1
7000004197,2003-11-03 01:28:00,5500 S WESTERN AVE S,98337e6df72c4d50b74a1b3c08c5a0a564ee6bddc547dfa6822368b70d5c211b,IL,PAS,60608,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2004-04-21 00:00:00,SEIZ,5044440740,"",RDFX,2003,11,1
7000004189,2003-11-03 01:51:00,5500 S WESTERN AVE S,fac22a3d462c5013bb64e2de64c67a09aaf2fa4c0c51b32c830d9a748084e845,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-02 00:00:00,VIOL,5046656980,"",RDFX,2003,11,1
7000004190,2003-11-03 02:28:00,5500 S WESTERN AVE S,bcbd6e8b1b9c01b4213707775365d72c9392956596f0d092c6495e3af1cf6fb2,IL,DOM,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-08 00:00:00,DETR,5046656990,"",RDFX,2003,11,2
