,issue_date,violation_code,geocoded_lng,geocoded_lat,street_num,street_dir,street_name,zipcode,upper_streetname,applicationfinalizeddate,applicationstartdate,latitude,longitude,streetclosure,streetnumberfrom,streetnumberto,worktype,worktypedescription
129240,2016-05-13 08:38:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129271,2016-05-13 08:41:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129272,2016-05-13 08:41:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129273,2016-05-13 08:41:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129293,2016-05-13 08:41:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129324,2016-05-13 09:02:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129325,2016-05-13 09:02:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129326,2016-05-13 09:02:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129346,2016-05-13 09:02:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129377,2016-05-13 09:03:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129378,2016-05-13 09:03:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129379,2016-05-13 09:03:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129399,2016-05-13 09:03:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129430,2016-05-13 09:05:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129431,2016-05-13 09:05:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129432,2016-05-13 09:05:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129452,2016-05-13 09:05:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
130596,2018-01-20 22:20:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
130597,2018-01-20 22:20:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
130598,2018-01-20 22:20:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
130600,2018-01-20 22:20:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:44,2016-09-23 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
130618,2018-01-20 22:20:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
130649,2018-01-20 22:20:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
130650,2018-01-20 22:20:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
130651,2018-01-20 22:20:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
130653,2018-01-20 22:20:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:44,2016-09-23 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
130671,2018-01-20 22:20:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131232,2016-06-30 09:27:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131233,2016-06-30 09:27:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131234,2016-06-30 09:27:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131254,2016-06-30 09:27:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131497,2018-03-19 02:28:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131498,2018-03-19 02:28:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131499,2018-03-19 02:28:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131501,2018-03-19 02:28:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:44,2016-09-23 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131519,2018-03-19 02:28:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131550,2018-03-19 02:31:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131551,2018-03-19 02:31:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131552,2018-03-19 02:31:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131554,2018-03-19 02:31:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:44,2016-09-23 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
131572,2018-03-19 02:31:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132239,2017-01-24 20:32:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132240,2017-01-24 20:32:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132241,2017-01-24 20:32:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132243,2017-01-24 20:32:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:44,2016-09-23 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132261,2017-01-24 20:32:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132345,2017-01-28 17:14:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132346,2017-01-28 17:14:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132347,2017-01-28 17:14:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132349,2017-01-28 17:14:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:44,2016-09-23 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132367,2017-01-28 17:14:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132451,2018-05-03 12:59:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132452,2018-05-03 12:59:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132453,2018-05-03 12:59:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132455,2018-05-03 12:59:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:44,2016-09-23 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132473,2018-05-03 12:59:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132663,2017-02-24 18:31:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132664,2017-02-24 18:31:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132665,2017-02-24 18:31:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132667,2017-02-24 18:31:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:44,2016-09-23 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132685,2017-02-24 18:31:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132716,2017-02-25 11:45:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132717,2017-02-25 11:45:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132718,2017-02-25 11:45:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132720,2017-02-25 11:45:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:44,2016-09-23 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132738,2017-02-25 11:45:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132822,2017-03-02 14:44:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132823,2017-03-02 14:44:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132824,2017-03-02 14:44:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132826,2017-03-02 14:44:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:44,2016-09-23 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
132844,2017-03-02 14:44:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
133034,2016-10-04 10:09:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
133035,2016-10-04 10:09:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
133036,2016-10-04 10:09:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
133038,2016-10-04 10:09:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:44,2016-09-23 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
133056,2016-10-04 10:09:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
